timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1535505908662,68049,localhost Memory,,,,,true,,0,0,0,0,0,0,0
1535505908663,12018,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1535505908664,0,localhost Disks I/O,,,,,true,,0,0,0,0,0,0,0
1535505908664,0,localhost Network I/O,,,,,true,,0,0,0,0,0,0,0
1535505909664,68066,localhost Memory,,,,,true,,0,0,0,0,0,0,0
1535505909664,30836,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1535505909664,0,localhost Disks I/O,,,,,true,,0,0,0,0,0,0,0
1535505909664,1024000,localhost Network I/O,,,,,true,,0,0,0,0,0,0,0
1535505910666,67859,localhost Memory,,,,,true,,0,0,0,0,0,0,0
1535505910666,27033,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1535505910666,0,localhost Disks I/O,,,,,true,,0,0,0,0,0,0,0
1535505910666,7168000,localhost Network I/O,,,,,true,,0,0,0,0,0,0,0
1535505911671,68035,localhost Memory,,,,,true,,0,0,0,0,0,0,0
1535505911671,23076,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1535505911671,0,localhost Disks I/O,,,,,true,,0,0,0,0,0,0,0
1535505911671,2048000,localhost Network I/O,,,,,true,,0,0,0,0,0,0,0
1535505912672,67928,localhost Memory,,,,,true,,0,0,0,0,0,0,0
1535505912672,24530,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1535505912672,0,localhost Disks I/O,,,,,true,,0,0,0,0,0,0,0
1535505912673,25600000,localhost Network I/O,,,,,true,,0,0,0,0,0,0,0
1535505913677,67987,localhost Memory,,,,,true,,0,0,0,0,0,0,0
1535505913677,13466,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1535505913677,0,localhost Disks I/O,,,,,true,,0,0,0,0,0,0,0
1535505913677,135168000,localhost Network I/O,,,,,true,,0,0,0,0,0,0,0
1535505914680,68076,localhost Memory,,,,,true,,0,0,0,0,0,0,0
1535505914680,5500,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1535505914680,0,localhost Disks I/O,,,,,true,,0,0,0,0,0,0,0
1535505914680,60416000,localhost Network I/O,,,,,true,,0,0,0,0,0,0,0
1535505915682,68076,localhost Memory,,,,,true,,0,0,0,0,0,0,0
1535505915682,4975,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1535505915682,0,localhost Disks I/O,,,,,true,,0,0,0,0,0,0,0
1535505915682,0,localhost Network I/O,,,,,true,,0,0,0,0,0,0,0
1535505916683,68034,localhost Memory,,,,,true,,0,0,0,0,0,0,0
1535505916684,15547,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1535505916684,0,localhost Disks I/O,,,,,true,,0,0,0,0,0,0,0
1535505916684,0,localhost Network I/O,,,,,true,,0,0,0,0,0,0,0
1535505917684,68132,localhost Memory,,,,,true,,0,0,0,0,0,0,0
1535505917685,13823,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1535505917685,0,localhost Disks I/O,,,,,true,,0,0,0,0,0,0,0
1535505917685,3072000,localhost Network I/O,,,,,true,,0,0,0,0,0,0,0
1535505918685,68131,localhost Memory,,,,,true,,0,0,0,0,0,0,0
1535505918686,16229,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1535505918686,0,localhost Disks I/O,,,,,true,,0,0,0,0,0,0,0
1535505918686,1024000,localhost Network I/O,,,,,true,,0,0,0,0,0,0,0
1535505919687,68140,localhost Memory,,,,,true,,0,0,0,0,0,0,0
1535505919687,19776,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1535505919687,0,localhost Disks I/O,,,,,true,,0,0,0,0,0,0,0
1535505919687,6144000,localhost Network I/O,,,,,true,,0,0,0,0,0,0,0
1535505920687,68174,localhost Memory,,,,,true,,0,0,0,0,0,0,0
1535505920687,16249,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1535505920687,0,localhost Disks I/O,,,,,true,,0,0,0,0,0,0,0
1535505920687,6144000,localhost Network I/O,,,,,true,,0,0,0,0,0,0,0
1535505921690,68179,localhost Memory,,,,,true,,0,0,0,0,0,0,0
1535505921690,13200,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1535505921690,0,localhost Disks I/O,,,,,true,,0,0,0,0,0,0,0
1535505921690,47104000,localhost Network I/O,,,,,true,,0,0,0,0,0,0,0
1535505922690,68182,localhost Memory,,,,,true,,0,0,0,0,0,0,0
1535505922690,18102,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1535505922690,0,localhost Disks I/O,,,,,true,,0,0,0,0,0,0,0
1535505922690,1024000,localhost Network I/O,,,,,true,,0,0,0,0,0,0,0
1535505923694,68204,localhost Memory,,,,,true,,0,0,0,0,0,0,0
1535505923694,17206,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1535505923694,0,localhost Disks I/O,,,,,true,,0,0,0,0,0,0,0
1535505923694,9216000,localhost Network I/O,,,,,true,,0,0,0,0,0,0,0
1535505924696,68336,localhost Memory,,,,,true,,0,0,0,0,0,0,0
1535505924696,20149,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1535505924696,0,localhost Disks I/O,,,,,true,,0,0,0,0,0,0,0
1535505924696,697344000,localhost Network I/O,,,,,true,,0,0,0,0,0,0,0
1535505925698,68434,localhost Memory,,,,,true,,0,0,0,0,0,0,0
1535505925698,9079,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1535505925698,0,localhost Disks I/O,,,,,true,,0,0,0,0,0,0,0
1535505925698,239616000,localhost Network I/O,,,,,true,,0,0,0,0,0,0,0
1535505926701,68458,localhost Memory,,,,,true,,0,0,0,0,0,0,0
1535505926701,12170,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1535505926701,0,localhost Disks I/O,,,,,true,,0,0,0,0,0,0,0
1535505926701,275456000,localhost Network I/O,,,,,true,,0,0,0,0,0,0,0
1535505927702,68465,localhost Memory,,,,,true,,0,0,0,0,0,0,0
1535505927702,10250,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1535505927702,0,localhost Disks I/O,,,,,true,,0,0,0,0,0,0,0
1535505927702,464896000,localhost Network I/O,,,,,true,,0,0,0,0,0,0,0
1535505928704,68547,localhost Memory,,,,,true,,0,0,0,0,0,0,0
1535505928704,5590,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1535505928704,0,localhost Disks I/O,,,,,true,,0,0,0,0,0,0,0
1535505928704,5120000,localhost Network I/O,,,,,true,,0,0,0,0,0,0,0
1535505929708,68637,localhost Memory,,,,,true,,0,0,0,0,0,0,0
1535505929709,9661,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1535505929709,0,localhost Disks I/O,,,,,true,,0,0,0,0,0,0,0
1535505929709,178176000,localhost Network I/O,,,,,true,,0,0,0,0,0,0,0
1535505930714,68641,localhost Memory,,,,,true,,0,0,0,0,0,0,0
1535505930714,9464,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1535505930714,0,localhost Disks I/O,,,,,true,,0,0,0,0,0,0,0
1535505930714,101376000,localhost Network I/O,,,,,true,,0,0,0,0,0,0,0
1535505931717,67693,localhost Memory,,,,,true,,0,0,0,0,0,0,0
1535505931717,14837,localhost CPU,,,,,true,,0,0,0,0,0,0,0
1535505931717,0,localhost Disks I/O,,,,,true,,0,0,0,0,0,0,0
